class,method,invokes,parameters,location,originClass,originMethod
com.google.common.util.concurrent.MoreExecutors$ScheduledListeningDecorator,<init>(Ljava/util/concurrent/ScheduledExecutorService;)V,true,"[""UNKNOWN""]",596:-1,com.google.common.util.concurrent.MoreExecutors$ListeningDecorator,<init>(Ljava/util/concurrent/ExecutorService;)V
com.google.common.cache.LocalCache$AbstractReferenceEntry,getKey()Ljava/lang/Object;,false,,,,
com.google.common.graph.Graphs$NodeVisitState,<init>(Ljava/lang/String;I)V,false,,,,
com.google.common.collect.ArrayListMultimap,toString()Ljava/lang/String;,true,[],65:-1,com.google.common.collect.AbstractMultimap,toString()Ljava/lang/String;
com.google.common.base.VerifyException,<init>(Ljava/lang/String;)V,false,,,,
com.google.common.collect.Range,<clinit>()V,true,"[""UNKNOWN"",""UNKNOWN""]",299:-1,com.google.common.collect.Range,<init>(Lcom/google/common/collect/Cut;Lcom/google/common/collect/Cut;)V
com.google.common.collect.Range,<clinit>()V,true,[],299:-1,com.google.common.collect.Cut,aboveAll()Lcom/google/common/collect/Cut;
com.google.common.collect.Range,<clinit>()V,true,[],299:-1,com.google.common.collect.Cut,belowAll()Lcom/google/common/collect/Cut;
com.google.common.util.concurrent.AbstractExecutionThreadService,startAsync()Lcom/google/common/util/concurrent/Service;,true,[],204:-1,com.google.common.util.concurrent.Service,startAsync()Lcom/google/common/util/concurrent/Service;
com.google.common.collect.StandardTable$Column$EntrySetIterator,<init>(Lcom/google/common/collect/StandardTable$Column;)V,true,[],536:-1,com.google.common.collect.AbstractIterator,<init>()V
com.google.common.collect.Synchronized$SynchronizedAsMapValues$1,transform(Ljava/lang/Object;)Ljava/lang/Object;,true,"[""UNKNOWN""]",1402:-1,com.google.common.collect.Synchronized$SynchronizedAsMapValues$1,transform(Ljava/util/Collection;)Ljava/util/Collection;
com.google.common.util.concurrent.ForwardingBlockingDeque,<init>()V,true,[],51:-1,com.google.common.collect.ForwardingDeque,<init>()V
com.google.common.reflect.Types$WildcardTypeImpl,toString()Ljava/lang/String;,true,"[""UNKNOWN""]",512:-1,com.google.common.reflect.Types,access$700(Ljava/lang/Iterable;)Ljava/lang/Iterable;
com.google.common.reflect.Types$WildcardTypeImpl,toString()Ljava/lang/String;,true,[],509:-1,com.google.common.collect.ImmutableList,iterator()Lcom/google/common/collect/UnmodifiableIterator;
com.google.common.reflect.Types$WildcardTypeImpl,toString()Ljava/lang/String;,true,"[""UNKNOWN""]",510:-1,com.google.common.reflect.Types$JavaVersion,typeName(Ljava/lang/reflect/Type;)Ljava/lang/String;
com.google.common.reflect.Types$WildcardTypeImpl,toString()Ljava/lang/String;,true,"[""UNKNOWN""]",513:-1,com.google.common.reflect.Types$JavaVersion,typeName(Ljava/lang/reflect/Type;)Ljava/lang/String;
com.google.common.base.CharMatcher$Whitespace,setBits(Ljava/util/BitSet;)V,false,,,,
com.google.common.util.concurrent.ForwardingBlockingDeque,drainTo(Ljava/util/Collection;I)I,true,[],128:-1,com.google.common.util.concurrent.ForwardingBlockingDeque,delegate()Ljava/util/concurrent/BlockingDeque;
com.google.common.io.CountingInputStream,mark(I)V,false,,,,
com.google.common.primitives.UnsignedInts,min([I)I,true,"[""NON_NULL""]",129:-1,com.google.common.primitives.UnsignedInts,flip(I)I
com.google.common.primitives.UnsignedInts,min([I)I,true,"[""NON_NULL""]",127:-1,com.google.common.primitives.UnsignedInts,flip(I)I
com.google.common.primitives.UnsignedInts,min([I)I,true,"[""NON_NULL""]",134:-1,com.google.common.primitives.UnsignedInts,flip(I)I
com.google.common.primitives.UnsignedInts,min([I)I,true,"[""NON_NULL""]",126:-1,com.google.common.base.Preconditions,checkArgument(Z)V
com.google.common.collect.AbstractBiMap$EntrySet,clear()V,true,[],380:-1,com.google.common.collect.AbstractBiMap,clear()V
com.google.common.primitives.ImmutableLongArray,access$000(Lcom/google/common/primitives/ImmutableLongArray;)[J,false,,,,
com.google.common.collect.AbstractMapBasedMultiset,entryIterator()Ljava/util/Iterator;,true,"[""NON_NULL"",""UNKNOWN""]",87:-1,com.google.common.collect.AbstractMapBasedMultiset$1,<init>(Lcom/google/common/collect/AbstractMapBasedMultiset;Ljava/util/Iterator;)V
com.google.common.collect.ImmutableSortedMap$Builder,<init>(Ljava/util/Comparator;)V,true,[],480:-1,com.google.common.collect.ImmutableMap$Builder,<init>()V
com.google.common.collect.ConcurrentHashMultiset$1,remove(Ljava/lang/Object;)Z,true,"[""UNKNOWN"",""NON_NULL""]",469:-1,com.google.common.collect.Collections2,safeRemove(Ljava/util/Collection;Ljava/lang/Object;)Z
com.google.common.graph.DirectedMultiNetworkConnections,getReference(Ljava/lang/ref/Reference;)Ljava/lang/Object;,false,,,,
com.google.common.base.Predicates,compose(Lcom/google/common/base/Predicate;Lcom/google/common/base/Function;)Lcom/google/common/base/Predicate;,true,"[""UNKNOWN"",""UNKNOWN"",""NULL""]",250:-1,com.google.common.base.Predicates$CompositionPredicate,<init>(Lcom/google/common/base/Predicate;Lcom/google/common/base/Function;Lcom/google/common/base/Predicates$1;)V
com.google.common.collect.LinkedListMultimap$1KeySetImpl,size()I,true,"[""UNKNOWN""]",714:-1,com.google.common.collect.LinkedListMultimap,access$600(Lcom/google/common/collect/LinkedListMultimap;)Ljava/util/Map;
com.google.common.collect.Sets$CartesianSet,equals(Ljava/lang/Object;)Z,true,"[""UNKNOWN""]",1471:-1,com.google.common.collect.ImmutableList,equals(Ljava/lang/Object;)Z
com.google.common.base.Verify,verify(ZLjava/lang/String;Ljava/lang/Object;C)V,true,"[""UNKNOWN""]",239:-1,com.google.common.base.VerifyException,<init>(Ljava/lang/String;)V
com.google.common.base.Verify,verify(ZLjava/lang/String;Ljava/lang/Object;C)V,true,"[""UNKNOWN"",""NON_NULL""]",239:-1,com.google.common.base.Preconditions,format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
com.google.common.primitives.Doubles$LexicographicalComparator,toString()Ljava/lang/String;,false,,,,
com.google.common.collect.StandardTable$Row,get(Ljava/lang/Object;)Ljava/lang/Object;,true,"[""NON_NULL"",""NON_NULL""]",323:-1,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;
com.google.common.util.concurrent.AbstractFuture,isDone()Z,false,,,,
com.google.common.collect.Multisets$MultisetIteratorImpl,hasNext()Z,false,,,,
