,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation,documentation.method.found,documentation.class.found,documentation.description,documentation.throws
59,com.google.common.base.CharMatcher,method,public,digit(),false,-1,false,UNKNOWN,5,False,False,True,True,False,False
60,com.google.common.base.CharMatcher,method,public,digit(),false,-1,true,UNKNOWN,2,False,False,True,True,False,False
61,com.google.common.base.CharMatcher,method,public,inRange(CC),false,0,true,NON_NULL,2,False,False,True,True,False,False
62,com.google.common.base.CharMatcher,method,public,inRange(CC),false,1,true,NON_NULL,2,False,False,True,True,False,False
63,com.google.common.base.CharMatcher,method,public,indexIn(Ljava/lang/CharSequence;),false,0,false,NON_NULL,15,False,False,True,True,False,False
64,com.google.common.base.CharMatcher,method,public,indexIn(Ljava/lang/CharSequence;),false,0,false,UNKNOWN,10,False,False,True,True,False,False
65,com.google.common.base.CharMatcher,method,public,indexIn(Ljava/lang/CharSequence;I),false,0,true,UNKNOWN,3,False,False,True,True,False,False
66,com.google.common.base.CharMatcher,method,public,indexIn(Ljava/lang/CharSequence;I),false,1,true,NON_NULL,3,False,False,True,True,False,False
67,com.google.common.base.CharMatcher,method,public,is(C),false,-1,false,UNKNOWN,44,False,False,True,True,False,False
68,com.google.common.base.CharMatcher,method,public,is(C),false,0,false,NON_NULL,44,False,False,True,True,False,False
69,com.google.common.base.CharMatcher,method,public,is(C),false,0,true,NON_NULL,5,False,False,True,True,False,False
70,com.google.common.base.CharMatcher,method,public,isNot(C),false,0,true,NON_NULL,2,False,False,True,True,False,False
71,com.google.common.base.CharMatcher,method,public,javaDigit(),false,-1,false,UNKNOWN,5,False,False,True,True,False,False
72,com.google.common.base.CharMatcher,method,public,javaIsoControl(),false,-1,true,UNKNOWN,1,False,False,True,True,False,False
73,com.google.common.base.CharMatcher,method,public,javaLetter(),false,-1,false,UNKNOWN,5,False,False,True,True,False,False
74,com.google.common.base.CharMatcher,method,public,javaLetterOrDigit(),false,-1,true,UNKNOWN,1,False,False,True,True,False,False
75,com.google.common.base.CharMatcher,method,public,lastIndexIn(Ljava/lang/CharSequence;),false,0,false,NON_NULL,10,False,False,True,True,False,False
76,com.google.common.base.CharMatcher,method,public,lastIndexIn(Ljava/lang/CharSequence;),false,0,false,UNKNOWN,2,False,False,True,True,False,False
77,com.google.common.base.CharMatcher,method,public,matches(C),false,0,false,NON_NULL,29,False,False,True,True,False,False
78,com.google.common.base.CharMatcher,method,public,matches(C),false,0,true,NON_NULL,16,False,False,True,True,False,False
79,com.google.common.base.CharMatcher,method,public,matchesAllOf(Ljava/lang/CharSequence;),false,0,false,NON_NULL,1,False,False,True,True,False,False
80,com.google.common.base.CharMatcher,method,public,matchesAllOf(Ljava/lang/CharSequence;),false,0,false,UNKNOWN,3,False,False,True,True,False,False
81,com.google.common.base.CharMatcher,method,public,matchesAllOf(Ljava/lang/CharSequence;),false,0,true,UNKNOWN,4,False,False,True,True,False,False
82,com.google.common.base.CharMatcher,method,public,matchesNoneOf(Ljava/lang/CharSequence;),false,0,true,UNKNOWN,1,False,False,True,True,False,False
