,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation
49,org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/File;),false,1,false,UNKNOWN,9,False,NOT_MENTIONED
50,org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/OutputStream;),false,0,false,NON_NULL,3,False,NOT_MENTIONED
51,org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/OutputStream;),false,0,false,UNKNOWN,5,False,NOT_MENTIONED
52,org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/OutputStream;),false,1,false,NON_NULL,6,False,NOT_MENTIONED
53,org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/OutputStream;),false,1,false,UNKNOWN,2,False,NOT_MENTIONED
54,org.apache.commons.io.FileUtils,method,public,copyInputStreamToFile(Ljava/io/InputStream;Ljava/io/File;),false,0,false,NON_NULL,10,False,NOT_MENTIONED
55,org.apache.commons.io.FileUtils,method,public,copyInputStreamToFile(Ljava/io/InputStream;Ljava/io/File;),false,0,false,UNKNOWN,15,False,NOT_MENTIONED
56,org.apache.commons.io.FileUtils,method,public,copyInputStreamToFile(Ljava/io/InputStream;Ljava/io/File;),false,1,false,NON_NULL,4,False,NOT_MENTIONED
57,org.apache.commons.io.FileUtils,method,public,copyInputStreamToFile(Ljava/io/InputStream;Ljava/io/File;),false,1,false,UNKNOWN,21,False,NOT_MENTIONED
58,org.apache.commons.io.FileUtils,method,public,copyURLToFile(Ljava/net/URL;Ljava/io/File;),false,0,false,NON_NULL,8,False,NOT_MENTIONED
59,org.apache.commons.io.FileUtils,method,public,copyURLToFile(Ljava/net/URL;Ljava/io/File;),false,0,false,UNKNOWN,8,False,NOT_MENTIONED
60,org.apache.commons.io.FileUtils,method,public,copyURLToFile(Ljava/net/URL;Ljava/io/File;),false,1,false,NON_NULL,16,False,NOT_MENTIONED
61,org.apache.commons.io.FileUtils,method,public,copyURLToFile(Ljava/net/URL;Ljava/io/File;II),false,0,false,NON_NULL,1,False,NOT_MENTIONED
62,org.apache.commons.io.FileUtils,method,public,copyURLToFile(Ljava/net/URL;Ljava/io/File;II),false,1,false,NON_NULL,1,False,NOT_MENTIONED
63,org.apache.commons.io.FileUtils,method,public,copyURLToFile(Ljava/net/URL;Ljava/io/File;II),false,2,false,NON_NULL,1,False,NOT_MENTIONED
64,org.apache.commons.io.FileUtils,method,public,copyURLToFile(Ljava/net/URL;Ljava/io/File;II),false,3,false,NON_NULL,1,False,NOT_MENTIONED
65,org.apache.commons.io.FileUtils,method,public,deleteDirectory(Ljava/io/File;),false,0,false,UNKNOWN,2,False,NOT_MENTIONED
66,org.apache.commons.io.FileUtils,method,public,deleteQuietly(Ljava/io/File;),false,0,false,NON_NULL,50,False,NOT_MENTIONED
67,org.apache.commons.io.FileUtils,method,public,deleteQuietly(Ljava/io/File;),false,0,false,UNKNOWN,50,False,NOT_MENTIONED
68,org.apache.commons.io.FileUtils,method,public,deleteQuietly(Ljava/io/File;),false,0,true,UNKNOWN,3,False,NOT_MENTIONED
69,org.apache.commons.io.FileUtils,method,public,forceDelete(Ljava/io/File;),false,0,false,NON_NULL,30,False,NOT_MENTIONED
70,org.apache.commons.io.FileUtils,method,public,forceDelete(Ljava/io/File;),false,0,false,UNKNOWN,38,False,NOT_MENTIONED
71,org.apache.commons.io.FileUtils,method,public,forceDelete(Ljava/io/File;),false,0,true,UNKNOWN,1,False,NOT_MENTIONED
72,org.apache.commons.io.FileUtils,method,public,forceDeleteOnExit(Ljava/io/File;),false,0,false,UNKNOWN,3,False,NOT_MENTIONED
73,org.apache.commons.io.FileUtils,method,public,forceMkdir(Ljava/io/File;),false,0,false,NON_NULL,45,False,NOT_MENTIONED
74,org.apache.commons.io.FileUtils,method,public,forceMkdir(Ljava/io/File;),false,0,false,UNKNOWN,19,False,NOT_MENTIONED
75,org.apache.commons.io.FileUtils,method,public,forceMkdir(Ljava/io/File;),false,0,true,NON_NULL,1,False,NOT_MENTIONED
76,org.apache.commons.io.FileUtils,method,public,forceMkdir(Ljava/io/File;),false,0,true,UNKNOWN,1,False,NOT_MENTIONED
77,org.apache.commons.io.FileUtils,method,public,forceMkdirParent(Ljava/io/File;),false,0,true,UNKNOWN,1,False,NOT_MENTIONED
78,org.apache.commons.io.FileUtils,method,public,getTempDirectory(),false,-1,false,UNKNOWN,6,False,NOT_MENTIONED
79,org.apache.commons.io.FileUtils,method,public,getUserDirectory(),false,-1,false,UNKNOWN,5,False,NOT_MENTIONED
80,org.apache.commons.io.FileUtils,method,public,isFileNewer(Ljava/io/File;J),false,0,true,UNKNOWN,2,False,NOT_MENTIONED
81,org.apache.commons.io.FileUtils,method,public,isFileNewer(Ljava/io/File;J),false,1,true,NON_NULL,2,False,NOT_MENTIONED
82,org.apache.commons.io.FileUtils,method,public,iterateFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,0,false,UNKNOWN,2,False,NOT_MENTIONED
83,org.apache.commons.io.FileUtils,method,public,iterateFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,1,false,UNKNOWN,2,False,NOT_MENTIONED
84,org.apache.commons.io.FileUtils,method,public,iterateFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,2,false,UNKNOWN,2,False,NOT_MENTIONED
85,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,-1,false,UNKNOWN,2,False,MENTIONED_IN_GENERAL
86,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,0,false,NON_NULL,2,False,MENTIONED_IN_GENERAL
87,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,0,false,UNKNOWN,2,False,MENTIONED_IN_GENERAL
88,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,1,false,NON_NULL,2,False,MENTIONED_IN_GENERAL
89,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,1,false,UNKNOWN,2,False,MENTIONED_IN_GENERAL
90,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;),false,2,false,UNKNOWN,4,False,MENTIONED_IN_GENERAL
91,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z),false,-1,false,UNKNOWN,6,False,NOT_MENTIONED
92,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z),false,0,false,NON_NULL,12,False,NOT_MENTIONED
93,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z),false,0,false,UNKNOWN,5,False,NOT_MENTIONED
94,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z),false,1,false,NON_NULL,5,False,NOT_MENTIONED
95,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z),false,1,false,NULL,7,False,NOT_MENTIONED
96,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z),false,1,false,UNKNOWN,5,False,NOT_MENTIONED
97,org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z),false,2,false,NON_NULL,17,False,NOT_MENTIONED
98,org.apache.commons.io.FileUtils,method,public,moveFile(Ljava/io/File;Ljava/io/File;),false,0,false,NON_NULL,5,False,NOT_MENTIONED
99,org.apache.commons.io.FileUtils,method,public,moveFile(Ljava/io/File;Ljava/io/File;),false,0,false,UNKNOWN,11,False,NOT_MENTIONED
100,org.apache.commons.io.FileUtils,method,public,moveFile(Ljava/io/File;Ljava/io/File;),false,1,false,NON_NULL,16,False,NOT_MENTIONED
101,org.apache.commons.io.FileUtils,method,public,openInputStream(Ljava/io/File;),false,0,false,NON_NULL,9,False,NOT_MENTIONED
102,org.apache.commons.io.FileUtils,method,public,openInputStream(Ljava/io/File;),false,0,false,UNKNOWN,5,False,NOT_MENTIONED
103,org.apache.commons.io.FileUtils,method,public,openOutputStream(Ljava/io/File;),false,-1,false,NON_NULL,10,False,NOT_MENTIONED
104,org.apache.commons.io.FileUtils,method,public,openOutputStream(Ljava/io/File;),false,-1,false,UNKNOWN,7,False,NOT_MENTIONED
105,org.apache.commons.io.FileUtils,method,public,openOutputStream(Ljava/io/File;),false,0,false,NON_NULL,12,False,NOT_MENTIONED
106,org.apache.commons.io.FileUtils,method,public,openOutputStream(Ljava/io/File;),false,0,false,UNKNOWN,20,False,NOT_MENTIONED
107,org.apache.commons.io.FileUtils,method,public,openOutputStream(Ljava/io/File;Z),false,0,false,NON_NULL,1,False,NOT_MENTIONED
108,org.apache.commons.io.FileUtils,method,public,openOutputStream(Ljava/io/File;Z),false,1,false,NON_NULL,1,False,NOT_MENTIONED
109,org.apache.commons.io.FileUtils,method,public,readFileToByteArray(Ljava/io/File;),false,0,false,NON_NULL,7,False,NOT_MENTIONED
110,org.apache.commons.io.FileUtils,method,public,readFileToByteArray(Ljava/io/File;),false,0,false,UNKNOWN,28,False,NOT_MENTIONED
111,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;),false,0,false,UNKNOWN,1,False,NOT_MENTIONED
112,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/lang/String;),false,-1,false,UNKNOWN,4,False,MENTIONED
113,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/lang/String;),false,0,false,NON_NULL,25,False,NOT_MENTIONED
114,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/lang/String;),false,0,false,UNKNOWN,56,False,NOT_MENTIONED
115,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/lang/String;),false,1,false,NON_NULL,32,False,NOT_MENTIONED
116,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/lang/String;),false,1,false,UNKNOWN,49,False,NOT_MENTIONED
117,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/nio/charset/Charset;),false,-1,false,UNKNOWN,18,False,MENTIONED
118,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/nio/charset/Charset;),false,0,false,NON_NULL,9,False,NOT_MENTIONED
119,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/nio/charset/Charset;),false,0,false,UNKNOWN,18,False,NOT_MENTIONED
120,org.apache.commons.io.FileUtils,method,public,readFileToString(Ljava/io/File;Ljava/nio/charset/Charset;),false,1,false,UNKNOWN,27,False,NOT_MENTIONED
121,org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;),false,-1,false,UNKNOWN,15,False,MENTIONED
122,org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;),false,0,false,NON_NULL,15,False,NOT_MENTIONED
123,org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;Ljava/lang/String;),false,0,false,NON_NULL,15,False,NOT_MENTIONED
124,org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;Ljava/lang/String;),false,1,false,UNKNOWN,15,False,NOT_MENTIONED
125,org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;Ljava/nio/charset/Charset;),false,-1,false,UNKNOWN,8,False,MENTIONED
126,org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;Ljava/nio/charset/Charset;),false,0,false,NON_NULL,3,False,NOT_MENTIONED
127,org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;Ljava/nio/charset/Charset;),false,0,false,UNKNOWN,8,False,NOT_MENTIONED
128,org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;Ljava/nio/charset/Charset;),false,1,false,UNKNOWN,11,False,NOT_MENTIONED
129,org.apache.commons.io.FileUtils,method,public,sizeOfDirectory(Ljava/io/File;),false,0,true,NON_NULL,2,False,NOT_MENTIONED
130,org.apache.commons.io.FileUtils,method,public,toFile(Ljava/net/URL;),false,0,false,NON_NULL,10,False,NOT_MENTIONED
131,org.apache.commons.io.FileUtils,method,public,toFile(Ljava/net/URL;),false,0,false,UNKNOWN,1,False,NOT_MENTIONED
132,org.apache.commons.io.FileUtils,method,public,touch(Ljava/io/File;),false,0,false,NON_NULL,5,False,NOT_MENTIONED
