,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation
82,java.awt.Component,method,public,removeMouseListener(Ljava/awt/event/MouseListener;),false,0,false,NON_NULL,33,False,MENTIONED_IN_GENERAL
83,java.awt.Component,method,public,removeMouseListener(Ljava/awt/event/MouseListener;),false,0,false,UNKNOWN,5,False,MENTIONED_IN_GENERAL
84,java.awt.Component,method,public,removeMouseMotionListener(Ljava/awt/event/MouseMotionListener;),false,0,false,NON_NULL,22,False,MENTIONED_IN_GENERAL
85,java.awt.Component,method,public,removePropertyChangeListener(Ljava/beans/PropertyChangeListener;),false,0,false,UNKNOWN,22,False,MENTIONED_IN_GENERAL
86,java.awt.Component,method,public,removePropertyChangeListener(Ljava/lang/String;Ljava/beans/PropertyChangeListener;),false,0,false,NON_NULL,1474,False,MENTIONED_IN_GENERAL
87,java.awt.Component,method,public,removePropertyChangeListener(Ljava/lang/String;Ljava/beans/PropertyChangeListener;),false,1,false,NON_NULL,396,False,MENTIONED_IN_GENERAL
88,java.awt.Component,method,public,removePropertyChangeListener(Ljava/lang/String;Ljava/beans/PropertyChangeListener;),false,1,false,UNKNOWN,1078,False,MENTIONED_IN_GENERAL
89,java.awt.Component,method,public,setBounds(IIII),false,0,false,NON_NULL,44,False,NOT_MENTIONED
90,java.awt.Component,method,public,setBounds(IIII),false,1,false,NON_NULL,44,False,NOT_MENTIONED
91,java.awt.Component,method,public,setBounds(IIII),false,2,false,NON_NULL,44,False,NOT_MENTIONED
92,java.awt.Component,method,public,setBounds(IIII),false,3,false,NON_NULL,44,False,NOT_MENTIONED
93,java.awt.Component,method,public,setCursor(Ljava/awt/Cursor;),false,0,false,UNKNOWN,66,False,MENTIONED_IN_GENERAL
94,java.awt.Component,method,public,setFocusTraversalKeysEnabled(Z),false,0,false,NON_NULL,21,False,NOT_MENTIONED
95,java.awt.Component,method,public,setFocusable(Z),false,0,false,NON_NULL,374,False,NOT_MENTIONED
96,java.awt.Component,method,public,setForeground(Ljava/awt/Color;),false,0,false,NULL,11,False,NOT_MENTIONED
97,java.awt.Component,method,public,setForeground(Ljava/awt/Color;),false,0,false,UNKNOWN,11,False,NOT_MENTIONED
98,java.awt.Component,method,public,setLocation(II),false,0,false,NON_NULL,11,False,NOT_MENTIONED
99,java.awt.Component,method,public,setLocation(II),false,1,false,NON_NULL,11,False,NOT_MENTIONED
100,java.awt.Component,method,public,setName(Ljava/lang/String;),false,0,false,NON_NULL,9152,False,NOT_MENTIONED
101,java.awt.Component,method,public,setName(Ljava/lang/String;),false,0,false,UNKNOWN,33,False,NOT_MENTIONED
102,java.awt.Component,method,public,setSize(II),false,0,false,NON_NULL,22,False,NOT_MENTIONED
103,java.awt.Component,method,public,setSize(II),false,1,false,NON_NULL,22,False,NOT_MENTIONED
104,java.awt.Container,method,public,add(Ljava/awt/Component;),false,0,false,NON_NULL,66,False,NOT_MENTIONED
105,java.awt.Container,method,public,add(Ljava/awt/Component;),false,0,false,UNKNOWN,3333,False,NOT_MENTIONED
106,java.awt.Container,method,public,add(Ljava/awt/Component;Ljava/lang/Object;),false,0,false,NON_NULL,11,False,NOT_MENTIONED
107,java.awt.Container,method,public,add(Ljava/awt/Component;Ljava/lang/Object;),false,0,false,UNKNOWN,4430,False,NOT_MENTIONED
108,java.awt.Container,method,public,add(Ljava/awt/Component;Ljava/lang/Object;),false,1,false,NON_NULL,4419,False,NOT_MENTIONED
