class,method,getter
com.google.common.collect.ImmutableListMultimap$Builder,build()Lcom/google/common/collect/ImmutableListMultimap;,false
com.google.common.collect.ImmutableClassToInstanceMap$Builder,putAll(Ljava/util/Map;)Lcom/google/common/collect/ImmutableClassToInstanceMap$Builder;,false
com.google.common.collect.MapMakerInternalMap$AbstractSerializationProxy,readMapMaker(Ljava/io/ObjectInputStream;)Lcom/google/common/collect/MapMaker;,false
com.google.common.cache.LocalCache$ManualSerializationProxy,recreateCacheBuilder()Lcom/google/common/cache/CacheBuilder;,false
com.google.common.base.Joiner,join(Ljava/lang/Iterable;)Ljava/lang/String;,false
com.google.common.base.Joiner,appendTo(Ljava/lang/StringBuilder;Ljava/lang/Iterable;)Ljava/lang/StringBuilder;,false
com.google.common.util.concurrent.AbstractService,state()Lcom/google/common/util/concurrent/Service$State;,false
com.google.common.collect.TreeRangeSet,rangeContaining(Ljava/lang/Comparable;)Lcom/google/common/collect/Range;,false
com.google.common.util.concurrent.ThreadFactoryBuilder,setNameFormat(Ljava/lang/String;)Lcom/google/common/util/concurrent/ThreadFactoryBuilder;,false
com.google.common.util.concurrent.ThreadFactoryBuilder,setDaemon(Z)Lcom/google/common/util/concurrent/ThreadFactoryBuilder;,false
com.google.common.util.concurrent.ThreadFactoryBuilder,setThreadFactory(Ljava/util/concurrent/ThreadFactory;)Lcom/google/common/util/concurrent/ThreadFactoryBuilder;,false
com.google.common.reflect.Invokable,getDeclaringClass()Ljava/lang/Class;,false
com.google.common.collect.ForwardingMultiset,entrySet()Ljava/util/Set;,false
com.google.common.primitives.ImmutableIntArray$Builder,addAll(Ljava/lang/Iterable;)Lcom/google/common/primitives/ImmutableIntArray$Builder;,false
com.google.common.collect.ForwardingCollection,iterator()Ljava/util/Iterator;,false
com.google.common.eventbus.SubscriberExceptionContext,getEventBus()Lcom/google/common/eventbus/EventBus;,true
com.google.common.eventbus.SubscriberExceptionContext,getSubscriberMethod()Ljava/lang/reflect/Method;,true
com.google.common.graph.MapIteratorCache,get(Ljava/lang/Object;)Ljava/lang/Object;,false
com.google.common.io.Closer,register(Ljava/io/Closeable;)Ljava/io/Closeable;,false
com.google.common.collect.TreeMultiset$Reference,get()Ljava/lang/Object;,false
com.google.common.collect.Interners$InternerBuilder,strong()Lcom/google/common/collect/Interners$InternerBuilder;,true
com.google.common.collect.Interners$InternerBuilder,weak()Lcom/google/common/collect/Interners$InternerBuilder;,false
com.google.common.reflect.TypeCapture,capture()Ljava/lang/reflect/Type;,false
com.google.common.escape.ArrayBasedEscaperMap,getReplacementArray()[[C,true
com.google.common.collect.GeneralRange,getLowerBoundType()Lcom/google/common/collect/BoundType;,true
com.google.common.collect.GeneralRange,getUpperBoundType()Lcom/google/common/collect/BoundType;,true
com.google.common.eventbus.SubscriberRegistry,getSubscribers(Ljava/lang/Object;)Ljava/util/Iterator;,false
com.google.common.collect.ImmutableList$Builder,add(Ljava/lang/Object;)Lcom/google/common/collect/ImmutableList$Builder;,false
