class,method,variable,location,nullness,originClass,originMethod,r
com.google.common.hash.BloomFilterStrategies$1,mightContain(Ljava/lang/Object;Lcom/google/common/hash/Funnel;ILcom/google/common/hash/BloomFilterStrategies$LockFreeBitArray;)Z,$r0,70:-1,UNKNOWN,com.google.common.hash.Hashing,murmur3_128()Lcom/google/common/hash/HashFunction;,0.0076686650884103535
com.google.common.collect.ContiguousSet,create(Lcom/google/common/collect/Range;Lcom/google/common/collect/DiscreteDomain;)Lcom/google/common/collect/ContiguousSet;,effectiveRange,79:-1,UNKNOWN,com.google.common.collect.Range,intersection(Lcom/google/common/collect/Range;)Lcom/google/common/collect/Range;,0.007755791339989715
com.google.common.collect.AbstractTable,rowKeySet()Ljava/util/Set;,$r0,50:-1,UNKNOWN,com.google.common.collect.Table,rowMap()Ljava/util/Map;,0.008194192279320056
com.google.common.collect.AbstractSortedMultiset,pollFirstEntry()Lcom/google/common/collect/Multiset$Entry;,entryIterator,79:-1,UNKNOWN,com.google.common.collect.AbstractMultiset,entryIterator()Ljava/util/Iterator;,0.010788028062206578
com.google.common.collect.ImmutableMultiset,of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;[Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMultiset;,$r5,171:-1,UNKNOWN,com.google.common.collect.ImmutableMultiset$Builder,add(Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMultiset$Builder;,0.011375401604489577
com.google.common.collect.FluentIterable,toSortedList(Ljava/util/Comparator;)Lcom/google/common/collect/ImmutableList;,$r0,632:-1,UNKNOWN,com.google.common.collect.Ordering,from(Ljava/util/Comparator;)Lcom/google/common/collect/Ordering;,0.011573756648877165
com.google.common.util.concurrent.AbstractFuture$SetFuture,run()V,$r3,324:-1,UNKNOWN,com.google.common.util.concurrent.AbstractFuture,access$200()Lcom/google/common/util/concurrent/AbstractFuture$AtomicHelper;,0.01260760847129938
com.google.common.util.concurrent.CollectionFuture$ListFuture$ListFutureRunningState,combine(Ljava/util/List;)Ljava/util/List;,result,107:-1,UNKNOWN,com.google.common.collect.Lists,newArrayListWithCapacity(I)Ljava/util/ArrayList;,0.012672982816996026
com.google.common.collect.Iterables,get(Ljava/lang/Iterable;ILjava/lang/Object;)Ljava/lang/Object;,list,782:-1,UNKNOWN,com.google.common.collect.Lists,cast(Ljava/lang/Iterable;)Ljava/util/List;,0.013069919355084725
com.google.common.hash.AbstractHashFunction,hashString(Ljava/lang/CharSequence;Ljava/nio/charset/Charset;)Lcom/google/common/hash/HashCode;,$r0,42:-1,UNKNOWN,com.google.common.hash.HashFunction,newHasher()Lcom/google/common/hash/Hasher;,0.01308652501373564
com.google.common.util.concurrent.MoreExecutors,submitAndAddQueueListener(Lcom/google/common/util/concurrent/ListeningExecutorService;Ljava/util/concurrent/Callable;Ljava/util/concurrent/BlockingQueue;)Lcom/google/common/util/concurrent/ListenableFuture;,future,787:-1,UNKNOWN,com.google.common.util.concurrent.ListeningExecutorService,submit(Ljava/util/concurrent/Callable;)Lcom/google/common/util/concurrent/ListenableFuture;,0.015482829515565233
com.google.common.collect.EnumMultiset$Itr,remove()V,$r6,242:-1,UNKNOWN,com.google.common.collect.EnumMultiset,access$100(Lcom/google/common/collect/EnumMultiset;)[I,0.01624161703177729
com.google.common.io.CharSource,isEmpty()Z,closer,409:-1,UNKNOWN,com.google.common.io.Closer,create()Lcom/google/common/io/Closer;,0.016846748414938273
com.google.common.cache.LocalCache$Segment,removeEntry(Lcom/google/common/cache/LocalCache$ReferenceEntry;ILcom/google/common/cache/RemovalCause;)Z,$r2,3580:-1,UNKNOWN,com.google.common.cache.LocalCache$ReferenceEntry,getValueReference()Lcom/google/common/cache/LocalCache$ValueReference;,0.017434554385971524
com.google.common.collect.LinkedListMultimap$1KeySetImpl,remove(Ljava/lang/Object;)Z,$r1,729:-1,UNKNOWN,com.google.common.collect.LinkedListMultimap,removeAll(Ljava/lang/Object;)Ljava/util/List;,0.01817687522063205
com.google.common.collect.Sets$SubSet,contains(Ljava/lang/Object;)Z,index,1573:-1,NON_NULL,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;,0.0003779999579741622
com.google.common.collect.ImmutableMultimap$Keys,count(Ljava/lang/Object;)I,values,651:-1,NON_NULL,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;,0.036476896886606935
com.google.common.escape.Escapers$2,escape(I)[C,loChars,261:-1,NON_NULL,com.google.common.escape.CharEscaper,escape(C)[C,0.04571273647985252
com.google.common.collect.TreeRangeMap$SubRangeMap,getEntry(Ljava/lang/Comparable;)Ljava/util/Map$Entry;,entry,392:-1,NON_NULL,com.google.common.collect.TreeRangeMap,getEntry(Ljava/lang/Comparable;)Ljava/util/Map$Entry;,0.04764007512983548
com.google.common.graph.ConfigurableMutableValueGraph,removeNode(Ljava/lang/Object;)Z,connections,119:-1,NON_NULL,com.google.common.graph.MapIteratorCache,get(Ljava/lang/Object;)Ljava/lang/Object;,0.053669387782690814
com.google.common.collect.Sets$5$1$1,contains(Ljava/lang/Object;)Z,i,1723:-1,NON_NULL,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;,0.05426437310218912
com.google.common.collect.TreeMultiset,count(Ljava/lang/Object;)I,root,237:-1,NON_NULL,com.google.common.collect.TreeMultiset$Reference,get()Ljava/lang/Object;,0.056741863796815784
com.google.common.collect.Interners,newStrongInterner()Lcom/google/common/collect/Interner;,$r1,100:-1,NON_NULL,com.google.common.collect.Interners$InternerBuilder,strong()Lcom/google/common/collect/Interners$InternerBuilder;,0.05882420600211302
com.google.common.collect.TreeMultiset,lastNode()Lcom/google/common/collect/TreeMultiset$AvlNode;,node,400:-1,NON_NULL,com.google.common.collect.TreeMultiset$AvlNode,access$1000(Lcom/google/common/collect/TreeMultiset$AvlNode;Ljava/util/Comparator;Ljava/lang/Object;)Lcom/google/common/collect/TreeMultiset$AvlNode;,0.1066709653491218
com.google.common.graph.ConfigurableMutableValueGraph,removeNode(Ljava/lang/Object;)Z,connections,113:-1,NON_NULL,com.google.common.graph.MapIteratorCache,get(Ljava/lang/Object;)Ljava/lang/Object;,0.15878226519431093
com.google.common.primitives.Ints,tryParse(Ljava/lang/String;I)Ljava/lang/Integer;,result,745:-1,NON_NULL,com.google.common.primitives.Longs,tryParse(Ljava/lang/String;I)Ljava/lang/Long;,0.17367214780927642
com.google.common.collect.ConcurrentHashMultiset,remove(Ljava/lang/Object;I)I,existingCounter,281:-1,NON_NULL,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;,0.17561164981669797
com.google.common.escape.Escapers$2,escape(I)[C,hiChars,254:-1,NON_NULL,com.google.common.escape.CharEscaper,escape(C)[C,0.2183587378570756
com.google.common.graph.ConfigurableValueGraph,hasEdgeConnecting(Ljava/lang/Object;Ljava/lang/Object;)Z,connectionsU,122:-1,NON_NULL,com.google.common.graph.MapIteratorCache,get(Ljava/lang/Object;)Ljava/lang/Object;,0.23997985971013647
com.google.common.collect.TreeMultiset,setCount(Ljava/lang/Object;I)I,root,306:-1,NON_NULL,com.google.common.collect.TreeMultiset$Reference,get()Ljava/lang/Object;,0.2401698608903613
com.google.common.collect.HashBiMap$Inverse,remove(Ljava/lang/Object;)Ljava/lang/Object;,entry,604:-1,NON_NULL,com.google.common.collect.HashBiMap,access$400(Lcom/google/common/collect/HashBiMap;Ljava/lang/Object;I)Lcom/google/common/collect/HashBiMap$BiEntry;,0.25542988512868237
com.google.common.collect.LinkedListMultimap$1EntriesImpl,forEach(Ljava/util/function/Consumer;)V,node,817:-1,NON_NULL,com.google.common.collect.LinkedListMultimap,access$200(Lcom/google/common/collect/LinkedListMultimap;)Lcom/google/common/collect/LinkedListMultimap$Node;,0.3020482713470434
com.google.common.collect.ArrayTable,get(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,rowIndex,438:-1,NON_NULL,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;,0.3081601028250852
com.google.common.collect.Multisets$AbstractEntry,hashCode()I,e,855:-1,NON_NULL,com.google.common.collect.Multiset$Entry,getElement()Ljava/lang/Object;,0.31609567061279575
com.google.common.graph.ConfigurableMutableValueGraph,removeEdge(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,connectionsV,148:-1,NON_NULL,com.google.common.graph.MapIteratorCache,get(Ljava/lang/Object;)Ljava/lang/Object;,0.3515738334206314
com.google.common.collect.ExplicitOrdering,rank(Ljava/lang/Object;)I,rank,47:-1,NON_NULL,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;,0.38166763487468414
com.google.common.collect.HashBiMap$KeySet,remove(Ljava/lang/Object;)Z,entry,471:-1,NON_NULL,com.google.common.collect.HashBiMap,access$300(Lcom/google/common/collect/HashBiMap;Ljava/lang/Object;I)Lcom/google/common/collect/HashBiMap$BiEntry;,0.41065613505964893
com.google.common.collect.ConcurrentHashMultiset,removeExactly(Ljava/lang/Object;I)Z,existingCounter,322:-1,NON_NULL,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;,0.41848326088182275
com.google.common.collect.ConcurrentHashMultiset,setCount(Ljava/lang/Object;II)Z,existingCounter,420:-1,NON_NULL,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;,0.4246503954322274
com.google.common.collect.ImmutableMapEntrySet,contains(Ljava/lang/Object;)Z,value,91:-1,NON_NULL,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;,0.424989405650826
com.google.common.escape.Escapers$2,escape(I)[C,hiChars,252:-1,NON_NULL,com.google.common.escape.CharEscaper,escape(C)[C,0.42916896625234324
com.google.common.util.concurrent.TimeoutFuture$Fire,run()V,delegate,114:-1,NON_NULL,com.google.common.util.concurrent.TimeoutFuture,access$000(Lcom/google/common/util/concurrent/TimeoutFuture;)Lcom/google/common/util/concurrent/ListenableFuture;,0.4480490590416476
com.google.common.collect.DenseImmutableTable$ImmutableArrayMap,get(Ljava/lang/Object;)Ljava/lang/Object;,keyIndex,122:-1,NON_NULL,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;,0.4558843354599089
com.google.common.collect.MinMaxPriorityQueue$QueueIterator,remove()V,moved,832:-1,NON_NULL,com.google.common.collect.MinMaxPriorityQueue,removeAt(I)Lcom/google/common/collect/MinMaxPriorityQueue$MoveDesc;,0.47425954910418855
com.google.common.graph.ConfigurableMutableNetwork,removeNode(Ljava/lang/Object;)Z,connections,131:-1,NON_NULL,com.google.common.graph.MapIteratorCache,get(Ljava/lang/Object;)Ljava/lang/Object;,0.4840805619384527
com.google.common.collect.ArrayTable,column(Ljava/lang/Object;)Ljava/util/Map;,columnIndex,610:-1,NON_NULL,com.google.common.collect.ImmutableMap,get(Ljava/lang/Object;)Ljava/lang/Object;,0.4931281546276187
com.google.common.collect.ConcurrentHashMultiset,count(Ljava/lang/Object;)I,existingCounter,142:-1,NON_NULL,com.google.common.collect.Maps,safeGet(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Object;,0.4999346299324735
com.google.common.collect.TreeMultiset,add(Ljava/lang/Object;I)I,root,260:-1,NON_NULL,com.google.common.collect.TreeMultiset$Reference,get()Ljava/lang/Object;,0.5483524599806532
