class,attribute,visibility,name,getter,index,internal,nullness,n
java.sql.ResultSet,method,public,updateFloat(Ljava/lang/String;F)V,false,0,false,UNKNOWN,19
sun.misc.Unsafe,method,public,getLong(Ljava/lang/Object;J)J,false,0,false,UNKNOWN,35
javax.swing.table.AbstractTableModel,method,public,fireTableRowsInserted(II)V,false,0,false,NON_NULL,77
java.util.Collections,method,public,singletonList(Ljava/lang/Object;)Ljava/util/List;,false,0,false,UNKNOWN,186
javax.swing.JColorChooser,method,public,createDialog(Ljava/awt/Component;Ljava/lang/String;ZLjavax/swing/JColorChooser;Ljava/awt/event/ActionListener;Ljava/awt/event/ActionListener;)Ljavax/swing/JDialog;,false,4,false,NON_NULL,11
java.util.TimeZone,method,public,getTimeZone(Ljava/time/ZoneId;)Ljava/util/TimeZone;,false,0,false,UNKNOWN,2
java.awt.Font,method,public,<init>(Ljava/lang/String;II)V,false,1,false,NON_NULL,25
java.net.URI,method,public,<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,false,6,false,NULL,4
java.net.URLConnection,method,public,setUseCaches(Z)V,false,0,false,NON_NULL,10
javax.swing.JComponent,method,public,setToolTipText(Ljava/lang/String;)V,false,0,false,NON_NULL,11
java.io.File,method,public,createTempFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,false,0,false,UNKNOWN,6
java.util.HashMap,method,public,put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,false,0,false,NON_NULL,312
java.util.Date,method,public,after(Ljava/util/Date;)Z,false,0,false,NON_NULL,29
java.lang.Double,method,public,longBitsToDouble(J)D,false,0,false,NON_NULL,198
java.util.concurrent.locks.AbstractQueuedSynchronizer,method,protected,compareAndSetState(II)Z,false,1,false,NON_NULL,10
java.sql.PreparedStatement,method,public,setBinaryStream(ILjava/io/InputStream;J)V,false,0,false,NON_NULL,31
java.nio.file.Files,method,public,getPosixFilePermissions(Ljava/nio/file/Path;[Ljava/nio/file/LinkOption;)Ljava/util/Set;,false,1,false,NON_NULL,2
java.lang.StringBuilder,method,public,charAt(I)C,false,0,false,NON_NULL,180
java.util.Collections,method,public,unmodifiableSortedSet(Ljava/util/SortedSet;)Ljava/util/SortedSet;,false,0,false,UNKNOWN,56
java.math.BigDecimal,method,public,divide(Ljava/math/BigDecimal;II)Ljava/math/BigDecimal;,false,2,false,NON_NULL,21
java.util.Spliterator$OfLong,method,public,forEachRemaining(Ljava/util/function/LongConsumer;)V,false,0,false,UNKNOWN,12
java.util.concurrent.BlockingDeque,method,public,put(Ljava/lang/Object;)V,false,0,false,UNKNOWN,27
java.sql.CallableStatement,method,public,setBinaryStream(Ljava/lang/String;Ljava/io/InputStream;J)V,false,2,false,NON_NULL,9
java.awt.event.ActionListener,method,public,actionPerformed(Ljava/awt/event/ActionEvent;)V,false,0,false,NON_NULL,44
java.util.Queue,method,public,add(Ljava/lang/Object;)Z,false,0,false,UNKNOWN,249
java.util.Date,method,public,before(Ljava/util/Date;)Z,false,0,false,NON_NULL,6
javax.swing.JLabel,method,public,<init>(Ljavax/swing/Icon;)V,false,0,false,NON_NULL,11
java.lang.String,method,public,indexOf(II)I,false,0,false,NON_NULL,143
java.util.EnumSet,method,public,of(Ljava/lang/Enum;[Ljava/lang/Enum;)Ljava/util/EnumSet;,false,1,false,UNKNOWN,25
java.nio.charset.CharsetDecoder,method,public,decode(Ljava/nio/ByteBuffer;)Ljava/nio/CharBuffer;,false,0,false,UNKNOWN,12
javax.swing.DefaultListCellRenderer,method,public,getListCellRendererComponent(Ljavax/swing/JList;Ljava/lang/Object;IZZ)Ljava/awt/Component;,false,1,false,UNKNOWN,55
java.util.concurrent.atomic.AtomicLongArray,method,public,compareAndSet(IJJ)Z,false,0,false,NON_NULL,69
java.sql.ResultSet,method,public,getURL(I)Ljava/net/URL;,false,0,false,NON_NULL,19
java.util.stream.Stream,method,public,reduce(Ljava/lang/Object;Ljava/util/function/BinaryOperator;)Ljava/lang/Object;,false,0,false,NON_NULL,45
java.nio.file.Files,method,public,createTempFile(Ljava/lang/String;Ljava/lang/String;[Ljava/nio/file/attribute/FileAttribute;)Ljava/nio/file/Path;,false,2,false,NON_NULL,53
java.time.LocalDateTime,method,public,now(Ljava/time/ZoneId;)Ljava/time/LocalDateTime;,false,0,false,UNKNOWN,7
java.util.concurrent.CompletableFuture,method,public,thenRunAsync(Ljava/lang/Runnable;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,false,0,false,UNKNOWN,10
java.sql.PreparedStatement,method,public,setLong(IJ)V,false,1,false,NON_NULL,53
java.util.Arrays,method,public,binarySearch([Ljava/lang/Object;Ljava/lang/Object;)I,false,1,false,NON_NULL,2
java.nio.charset.CharsetEncoder,method,public,replaceWith([B)Ljava/nio/charset/CharsetEncoder;,false,0,false,UNKNOWN,2
java.util.concurrent.ExecutionException,method,public,<init>(Ljava/lang/String;Ljava/lang/Throwable;)V,false,1,false,NON_NULL,20
