"","rootClass","class","name","getter","use","index","nullness.actual","nullness.definition","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"271","com.google.common.collect.RangeMap","com.google.common.collect.RangeMap","asMapOfRanges()",FALSE,"return",-1,"Nullable",NA,0,0,5,5,0,0,"NonNull"
"272","com.google.common.collect.RangeMap","com.google.common.collect.TreeRangeMap","getEntry(Ljava/lang/Comparable;)",FALSE,"return",-1,"Nullable","Nullable",0,1,0,1,1,1,"Nullable"
"273","com.google.common.collect.RangeSet","com.google.common.collect.ImmutableRangeSet","subRangeSet(Lcom/google/common/collect/Range;)",FALSE,"return",-1,"Nullable","Unknown",0,0,2,2,0,0,"NonNull"
"274","com.google.common.collect.RangeSet","com.google.common.collect.RangeSet","asRanges()",FALSE,"return",-1,"Nullable",NA,0,0,4,4,0,0,"NonNull"
"275","com.google.common.collect.RangeSet","com.google.common.collect.RangeSet","subRangeSet(Lcom/google/common/collect/Range;)",FALSE,"return",-1,"Nullable",NA,0,0,1,1,0,0,"NonNull"
"276","com.google.common.collect.RangeSet","com.google.common.collect.TreeRangeSet","rangeContaining(Ljava/lang/Comparable;)",FALSE,"return",-1,"Nullable","Nullable",0,1,0,1,1,1,"Nullable"
"277","com.google.common.collect.RegularImmutableAsList","com.google.common.collect.RegularImmutableAsList","delegateList()",TRUE,"return",-1,"Nullable","Unknown",0,0,1,1,0,0,"NonNull"
"278","com.google.common.collect.Serialization","com.google.common.collect.Serialization","getFieldSetter(Ljava/lang/Class;Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,4,4,0,0,"NonNull"
"279","com.google.common.collect.Sets","com.google.common.collect.Sets","cartesianProduct(Ljava/util/List;)",FALSE,"return",-1,"NonNull","Unknown",0,0,10,10,0,0,"NonNull"
"280","com.google.common.collect.Sets","com.google.common.collect.Sets","intersection(Ljava/util/Set;Ljava/util/Set;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"281","com.google.common.collect.Sets","com.google.common.collect.Sets","newHashSet()",FALSE,"return",-1,"NonNull","NonNull",0,0,33,33,0,0,"NonNull"
"282","com.google.common.collect.Sets","com.google.common.collect.Sets","newHashSet(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","Unknown",0,0,7,7,0,0,"NonNull"
"283","com.google.common.collect.Sets","com.google.common.collect.Sets","newHashSet([Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","Unknown",0,0,9,9,0,0,"NonNull"
"284","com.google.common.collect.Sets","com.google.common.collect.Sets","newHashSetWithExpectedSize(I)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"285","com.google.common.collect.Sets","com.google.common.collect.Sets","newLinkedHashSet()",FALSE,"return",-1,"NonNull","NonNull",0,0,9,9,0,0,"NonNull"
"286","com.google.common.collect.Sets","com.google.common.collect.Sets","newLinkedHashSet(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","Unknown",0,0,6,6,0,0,"NonNull"
"287","com.google.common.collect.Sets","com.google.common.collect.Sets","newTreeSet()",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"288","com.google.common.collect.Sets","com.google.common.collect.Sets","union(Ljava/util/Set;Ljava/util/Set;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"289","com.google.common.collect.SortedMultiset","com.google.common.collect.ImmutableSortedMultiset","headMultiset(Ljava/lang/Object;Lcom/google/common/collect/BoundType;)",FALSE,"return",-1,"Nullable","Unknown",0,0,2,2,0,0,"NonNull"
"290","com.google.common.collect.SortedMultiset","com.google.common.collect.ImmutableSortedMultiset","tailMultiset(Ljava/lang/Object;Lcom/google/common/collect/BoundType;)",FALSE,"return",-1,"Nullable","Unknown",0,0,2,2,0,0,"NonNull"
"291","com.google.common.collect.SortedMultiset","com.google.common.collect.SortedMultiset","descendingMultiset()",FALSE,"return",-1,"Nullable",NA,0,0,1,1,0,0,"NonNull"
"292","com.google.common.collect.SortedMultiset","com.google.common.collect.SortedMultiset","headMultiset(Ljava/lang/Object;Lcom/google/common/collect/BoundType;)",FALSE,"return",-1,"Nullable",NA,0,0,20,20,0,0,"NonNull"
