"","class","attribute","visibility","name","getter","index","internal","nullness","n"
"135","com.google.common.base.Converter$1","method","private","<init>(Lcom/google/common/base/Converter;Ljava/lang/Iterable;)","false",0,"true","NON_NULL",1
"136","com.google.common.base.Converter$1","method","private","<init>(Lcom/google/common/base/Converter;Ljava/lang/Iterable;)","false",1,"true","NON_NULL",1
"137","com.google.common.base.Converter$1$1","method","private","<init>(Lcom/google/common/base/Converter$1;)","false",0,"true","NON_NULL",1
"138","com.google.common.base.Converter$ConverterComposition","method","private","<init>(Lcom/google/common/base/Converter;Lcom/google/common/base/Converter;)","false",0,"true","NON_NULL",1
"139","com.google.common.base.Converter$ConverterComposition","method","private","<init>(Lcom/google/common/base/Converter;Lcom/google/common/base/Converter;)","false",1,"true","NON_NULL",1
"140","com.google.common.base.Converter$FunctionBasedConverter","method","private","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;Lcom/google/common/base/Converter$1;)","false",0,"true","UNKNOWN",1
"141","com.google.common.base.Converter$FunctionBasedConverter","method","private","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;Lcom/google/common/base/Converter$1;)","false",1,"true","UNKNOWN",1
"142","com.google.common.base.Converter$FunctionBasedConverter","method","private","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;Lcom/google/common/base/Converter$1;)","false",2,"true","NULL",1
"143","com.google.common.base.Converter$ReverseConverter","method","private","<init>(Lcom/google/common/base/Converter;)","false",0,"true","NON_NULL",1
"144","com.google.common.base.Defaults","method","public","defaultValue(Ljava/lang/Class;)","false",0,"false","UNKNOWN",1
"145","com.google.common.base.Enums","method","private","getEnumConstants(Ljava/lang/Class;)","false",-1,"true","UNKNOWN",1
"146","com.google.common.base.Enums","method","private","getEnumConstants(Ljava/lang/Class;)","false",0,"true","UNKNOWN",1
"147","com.google.common.base.Enums","method","public","getIfPresent(Ljava/lang/Class;Ljava/lang/String;)","false",-1,"false","UNKNOWN",2
"148","com.google.common.base.Enums","method","public","getIfPresent(Ljava/lang/Class;Ljava/lang/String;)","false",0,"false","NON_NULL",2
"149","com.google.common.base.Enums","method","public","getIfPresent(Ljava/lang/Class;Ljava/lang/String;)","false",1,"false","NON_NULL",2
"150","com.google.common.base.Enums$StringConverter","method","private","<init>(Ljava/lang/Class;)","false",0,"true","UNKNOWN",1
"151","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",0,"false","NON_NULL",1
"152","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",0,"false","NULL",1
"153","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",0,"false","UNKNOWN",18
"154","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",0,"true","NON_NULL",2
"155","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",0,"true","UNKNOWN",33
"156","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",1,"false","NON_NULL",1
"157","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",1,"false","NULL",1
"158","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",1,"false","UNKNOWN",18
"159","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",1,"true","NON_NULL",4
"160","com.google.common.base.Equivalence","method","public","equivalent(Ljava/lang/Object;Ljava/lang/Object;)","false",1,"true","UNKNOWN",31
"161","com.google.common.base.Equivalence","method","public","hash(Ljava/lang/Object;)","false",0,"false","NON_NULL",1
"162","com.google.common.base.Equivalence","method","public","hash(Ljava/lang/Object;)","false",0,"false","UNKNOWN",14
"163","com.google.common.base.Equivalence","method","public","hash(Ljava/lang/Object;)","false",0,"true","UNKNOWN",5
"164","com.google.common.base.Equivalence","method","public","pairwise()","false",-1,"false","UNKNOWN",8
"165","com.google.common.base.Equivalence","method","public","wrap(Ljava/lang/Object;)","false",0,"false","UNKNOWN",1
"166","com.google.common.base.Equivalence$EquivalentToPredicate","method","private","<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;)","false",0,"true","NON_NULL",1
"167","com.google.common.base.Equivalence$EquivalentToPredicate","method","private","<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;)","false",1,"true","UNKNOWN",1
"168","com.google.common.base.Equivalence$Wrapper","method","private","<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;Lcom/google/common/base/Equivalence$1;)","false",0,"true","NON_NULL",1
"169","com.google.common.base.Equivalence$Wrapper","method","private","<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;Lcom/google/common/base/Equivalence$1;)","false",1,"true","UNKNOWN",1
"170","com.google.common.base.Equivalence$Wrapper","method","private","<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;Lcom/google/common/base/Equivalence$1;)","false",2,"true","NULL",1
"171","com.google.common.base.FinalizableReferenceQueue","method","private","access$000()","false",-1,"true","UNKNOWN",2
"172","com.google.common.base.Function","method","public","apply(Ljava/lang/Object;)","false",-1,"false","UNKNOWN",1
"173","com.google.common.base.Function","method","public","apply(Ljava/lang/Object;)","false",0,"false","NON_NULL",1
"174","com.google.common.base.Function","method","public","apply(Ljava/lang/Object;)","false",0,"false","UNKNOWN",27
"175","com.google.common.base.Function","method","public","apply(Ljava/lang/Object;)","false",0,"true","NON_NULL",2
"176","com.google.common.base.Function","method","public","apply(Ljava/lang/Object;)","false",0,"true","UNKNOWN",40
"177","com.google.common.base.Function","method","public","equals(Ljava/lang/Object;)","false",0,"true","UNKNOWN",8
"178","com.google.common.base.FunctionalEquivalence","method","private","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Equivalence;)","false",0,"true","UNKNOWN",1
"179","com.google.common.base.FunctionalEquivalence","method","private","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Equivalence;)","false",1,"true","NON_NULL",1
"180","com.google.common.base.Functions","method","public","constant(Ljava/lang/Object;)","false",0,"true","UNKNOWN",1
"181","com.google.common.base.Functions$ConstantFunction","method","public","<init>(Ljava/lang/Object;)","false",0,"true","UNKNOWN",1
"182","com.google.common.base.Functions$ForMapWithDefault","method","private","<init>(Ljava/util/Map;Ljava/lang/Object;)","false",0,"true","UNKNOWN",1
"183","com.google.common.base.Functions$ForMapWithDefault","method","private","<init>(Ljava/util/Map;Ljava/lang/Object;)","false",1,"true","UNKNOWN",1
"184","com.google.common.base.Functions$FunctionComposition","method","public","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;)","false",0,"true","UNKNOWN",1
"185","com.google.common.base.Functions$FunctionComposition","method","public","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;)","false",1,"true","UNKNOWN",1
"186","com.google.common.base.Functions$FunctionForMapNoDefault","method","private","<init>(Ljava/util/Map;)","false",0,"true","UNKNOWN",1
"187","com.google.common.base.Functions$PredicateFunction","method","private","<init>(Lcom/google/common/base/Predicate;Lcom/google/common/base/Functions$1;)","false",0,"true","UNKNOWN",1
"188","com.google.common.base.Functions$PredicateFunction","method","private","<init>(Lcom/google/common/base/Predicate;Lcom/google/common/base/Functions$1;)","false",1,"true","NULL",1
"189","com.google.common.base.Functions$SupplierFunction","method","private","<init>(Lcom/google/common/base/Supplier;Lcom/google/common/base/Functions$1;)","false",0,"true","UNKNOWN",1
"190","com.google.common.base.Functions$SupplierFunction","method","private","<init>(Lcom/google/common/base/Supplier;Lcom/google/common/base/Functions$1;)","false",1,"true","NULL",1
"191","com.google.common.base.JdkPattern","method","private","<init>(Ljava/util/regex/Pattern;)","false",0,"true","UNKNOWN",3
"192","com.google.common.base.JdkPattern$JdkMatcher","method","private","<init>(Ljava/util/regex/Matcher;)","false",0,"true","UNKNOWN",1
"193","com.google.common.base.Joiner","method","private","<init>(Lcom/google/common/base/Joiner;Lcom/google/common/base/Joiner$1;)","false",0,"true","UNKNOWN",2
"194","com.google.common.base.Joiner","method","private","<init>(Lcom/google/common/base/Joiner;Lcom/google/common/base/Joiner$1;)","false",1,"true","NULL",2
