"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"41","com.google.common.base.Equivalence","com.google.common.base.Equivalence","equivalent(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"parameter",0,"Nullable","Nullable",1,3,51,55,1,0.0181818181818182,"Nullable"
"42","com.google.common.base.Equivalence","com.google.common.base.Equivalence","equivalent(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"parameter",1,"Nullable","Nullable",1,5,49,55,1,0.0181818181818182,"Nullable"
"43","com.google.common.base.Equivalence","com.google.common.base.Equivalence","hash(Ljava/lang/Object;)",FALSE,"parameter",0,"Nullable","Nullable",0,1,19,20,0,0,"NonNull"
"44","com.google.common.base.Equivalence","com.google.common.base.Equivalence","pairwise()",FALSE,"return",-1,"Nullable","NonNull",0,0,8,8,0,0,"NonNull"
"45","com.google.common.base.Equivalence$EquivalentToPredicate","com.google.common.base.Equivalence$EquivalentToPredicate","<init>(Lcom/google/common/base/Equivalence;Ljava/lang/Object;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"46","com.google.common.base.FunctionalEquivalence","com.google.common.base.FunctionalEquivalence","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Equivalence;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"47","com.google.common.base.FunctionalEquivalence","com.google.common.base.FunctionalEquivalence","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Equivalence;)",FALSE,"parameter",1,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"48","com.google.common.base.Functions$ForMapWithDefault","com.google.common.base.Functions$ForMapWithDefault","<init>(Ljava/util/Map;Ljava/lang/Object;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"49","com.google.common.base.Functions$FunctionComposition","com.google.common.base.Functions$FunctionComposition","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"50","com.google.common.base.Functions$FunctionComposition","com.google.common.base.Functions$FunctionComposition","<init>(Lcom/google/common/base/Function;Lcom/google/common/base/Function;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"51","com.google.common.base.Functions$FunctionForMapNoDefault","com.google.common.base.Functions$FunctionForMapNoDefault","<init>(Ljava/util/Map;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"52","com.google.common.base.JdkPattern","com.google.common.base.JdkPattern","<init>(Ljava/util/regex/Pattern;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"53","com.google.common.base.JdkPattern$JdkMatcher","com.google.common.base.JdkPattern$JdkMatcher","<init>(Ljava/util/regex/Matcher;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"54","com.google.common.base.Joiner","com.google.common.base.Joiner","access$100(Lcom/google/common/base/Joiner;)",FALSE,"parameter",0,"Unknown","NonNull",0,0,2,2,0,0,"NonNull"
"55","com.google.common.base.Joiner","com.google.common.base.Joiner","appendTo(Ljava/lang/Appendable;Ljava/lang/Iterable;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,5,5,0,0,"NonNull"
"56","com.google.common.base.Joiner","com.google.common.base.Joiner","appendTo(Ljava/lang/StringBuilder;Ljava/lang/Iterable;)",FALSE,"parameter",1,"NonNull","NonNull",0,1,2,3,0,0,"NonNull"
"57","com.google.common.base.Joiner","com.google.common.base.Joiner","join(Ljava/lang/Iterable;)",FALSE,"parameter",0,"NonNull","NonNull",0,14,51,65,0,0,"NonNull"
"58","com.google.common.base.Joiner","com.google.common.base.Joiner","on(C)",FALSE,"return",-1,"NonNull","NonNull",0,0,41,41,0,0,"NonNull"
"59","com.google.common.base.Joiner","com.google.common.base.Joiner","on(Ljava/lang/String;)",FALSE,"return",-1,"NonNull","NonNull",0,0,36,36,0,0,"NonNull"
