class,attribute,visibility,name,getter,index,internal,nullness,n
org.apache.commons.io.IOUtils,method,public,lineIterator(Ljava/io/InputStream;Ljava/lang/String;)Lorg/apache/commons/io/LineIterator;,false,1,true,UNKNOWN,1
org.apache.commons.io.FileUtils,method,public,moveFile(Ljava/io/File;Ljava/io/File;)V,false,1,false,NON_NULL,16
org.apache.commons.io.IOUtils,method,public,copyLarge(Ljava/io/InputStream;Ljava/io/OutputStream;)J,false,0,true,NON_NULL,1
org.apache.commons.io.FileCleaningTracker$Reaper,method,private,<init>(Lorg/apache/commons/io/FileCleaningTracker;)V,false,0,true,NON_NULL,1
org.apache.commons.io.FileUtils,method,public,listFiles(Ljava/io/File;[Ljava/lang/String;Z)Ljava/util/Collection;,false,1,false,NON_NULL,5
org.apache.commons.io.FileUtils,method,public,write(Ljava/io/File;Ljava/lang/CharSequence;Ljava/nio/charset/Charset;)V,false,0,false,NON_NULL,3
org.apache.commons.io.FileUtils,method,public,readLines(Ljava/io/File;Ljava/nio/charset/Charset;)Ljava/util/List;,false,0,false,UNKNOWN,8
org.apache.commons.io.filefilter.AgeFileFilter,method,public,<init>(Ljava/io/File;)V,false,0,true,UNKNOWN,1
org.apache.commons.io.FileUtils,method,public,writeStringToFile(Ljava/io/File;Ljava/lang/String;Ljava/nio/charset/Charset;)V,false,2,false,UNKNOWN,12
org.apache.commons.io.IOUtils,method,public,copy(Ljava/io/InputStream;Ljava/io/Writer;)V,false,0,false,UNKNOWN,2
org.apache.commons.io.FilenameUtils,method,public,separatorsToUnix(Ljava/lang/String;)Ljava/lang/String;,false,0,false,UNKNOWN,2
org.apache.commons.io.filefilter.IOFileFilter,method,public,accept(Ljava/io/File;Ljava/lang/String;)Z,false,1,true,UNKNOWN,3
org.apache.commons.io.IOUtils,method,public,write([BLjava/io/OutputStream;)V,false,0,false,UNKNOWN,3
org.apache.commons.io.IOUtils,method,public,closeQuietly(Ljava/io/OutputStream;)V,false,0,false,NON_NULL,82
org.apache.commons.io.IOUtils,method,public,closeQuietly(Ljava/io/InputStream;)V,false,0,false,NON_NULL,100
org.apache.commons.io.IOUtils,method,public,write([BLjava/io/OutputStream;)V,false,1,false,UNKNOWN,1
org.apache.commons.io.filefilter.OrFileFilter,method,public,<init>(Lorg/apache/commons/io/filefilter/IOFileFilter;Lorg/apache/commons/io/filefilter/IOFileFilter;)V,false,0,true,UNKNOWN,1
org.apache.commons.io.IOUtils,method,public,toString(Ljava/net/URL;)Ljava/lang/String;,false,0,false,NON_NULL,10
org.apache.commons.io.filefilter.NameFileFilter,method,public,<init>(Ljava/lang/String;)V,false,0,true,UNKNOWN,1
org.apache.commons.io.output.WriterOutputStream,method,public,<init>(Ljava/io/Writer;Ljava/lang/String;)V,false,1,false,NON_NULL,5
org.apache.commons.io.IOUtils,method,public,readLines(Ljava/io/InputStream;Ljava/nio/charset/Charset;)Ljava/util/List;,false,1,false,UNKNOWN,35
org.apache.commons.io.ByteOrderMark,method,public,<init>(Ljava/lang/String;[I)V,false,1,true,NON_NULL,6
org.apache.commons.io.IOUtils,method,public,write(Ljava/lang/String;Ljava/io/OutputStream;Ljava/nio/charset/Charset;)V,false,0,false,UNKNOWN,3
org.apache.commons.io.monitor.FileEntry,method,public,setChildren([Lorg/apache/commons/io/monitor/FileEntry;)V,false,0,true,UNKNOWN,3
org.apache.commons.io.filefilter.AbstractFileFilter,method,public,accept(Ljava/io/File;Ljava/lang/String;)Z,false,0,true,UNKNOWN,1
org.apache.commons.io.input.ReversedLinesFileReader,method,private,access$400(Lorg/apache/commons/io/input/ReversedLinesFileReader;)Ljava/io/RandomAccessFile;,false,0,true,UNKNOWN,2
org.apache.commons.io.IOUtils,method,public,readLines(Ljava/io/Reader;)Ljava/util/List;,false,0,false,NON_NULL,10
org.apache.commons.io.ThreadMonitor,method,public,start(J)Ljava/lang/Thread;,false,0,true,NON_NULL,1
org.apache.commons.io.FilenameUtils,method,public,getPath(Ljava/lang/String;)Ljava/lang/String;,false,0,false,UNKNOWN,1
org.apache.commons.io.FilenameUtils,method,public,wildcardMatch(Ljava/lang/String;Ljava/lang/String;)Z,false,1,true,UNKNOWN,3
org.apache.commons.io.IOUtils,method,public,writeLines(Ljava/util/Collection;Ljava/lang/String;Ljava/io/OutputStream;Ljava/lang/String;)V,false,3,true,UNKNOWN,1
org.apache.commons.io.serialization.WildcardClassNameMatcher,method,public,<init>(Ljava/lang/String;)V,false,0,true,UNKNOWN,2
org.apache.commons.io.input.ProxyInputStream,method,public,skip(J)J,false,0,true,NON_NULL,1
org.apache.commons.io.DirectoryWalker,method,protected,<init>(Ljava/io/FileFilter;I)V,false,1,false,NON_NULL,4
org.apache.commons.io.FileUtils,method,public,write(Ljava/io/File;Ljava/lang/CharSequence;Ljava/lang/String;)V,false,2,false,UNKNOWN,39
org.apache.commons.io.input.CloseShieldInputStream,method,public,<init>(Ljava/io/InputStream;)V,false,0,false,UNKNOWN,2
