"","rootClass","class","name","getter","use","index","nullness.actual","nullness.definition","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"1799","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","copy(Ljava/nio/channels/ReadableByteChannel;Ljava/nio/channels/WritableByteChannel;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"1800","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","exhaust(Ljava/io/InputStream;)",FALSE,"parameter",0,"NonNull","NonNull",0,5,1,6,0,0,"NonNull"
"1801","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","limit(Ljava/io/InputStream;J)",FALSE,"parameter",0,"NonNull","Unknown",0,0,5,5,0,0,"NonNull"
"1802","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","newDataInput([B)",FALSE,"parameter",0,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"1803","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","newDataInput([BI)",FALSE,"parameter",0,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"1804","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","read(Ljava/io/InputStream;[BII)",FALSE,"parameter",0,"NonNull","NonNull",0,1,7,8,0,0,"NonNull"
"1805","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","read(Ljava/io/InputStream;[BII)",FALSE,"parameter",1,"NonNull","NonNull",0,8,0,8,0,0,"NonNull"
"1806","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","readBytes(Ljava/io/InputStream;Lcom/google/common/io/ByteProcessor;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"1807","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","readBytes(Ljava/io/InputStream;Lcom/google/common/io/ByteProcessor;)",FALSE,"parameter",1,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"1808","com.google.common.io.ByteStreams","com.google.common.io.ByteStreams","readFully(Ljava/io/InputStream;[B)",FALSE,"parameter",0,"NonNull","Unknown",0,1,0,1,0,0,"NonNull"
