"","rootClass","abstract","class","attribute","name","use","index","primitive","jar","jar.public","jar.original","nullness.jaif","jaif","jaif.known","jaif.integrity.disagree","definition","definition.known","nullness.definition","compatible"
"12","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","<init>(Ljava/net/URL;)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"13","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","<init>(Ljava/net/URLConnection;Ljava/lang/String;)","parameter",0,"false","jar","jar.public","jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"14","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","doRawStream(Lorg/apache/commons/io/input/BOMInputStream;Lorg/apache/commons/io/input/BOMInputStream;Z)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"15","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","doRawStream(Lorg/apache/commons/io/input/BOMInputStream;Lorg/apache/commons/io/input/BOMInputStream;Z)","parameter",1,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"16","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","doHttpStream(Lorg/apache/commons/io/input/BOMInputStream;Lorg/apache/commons/io/input/BOMInputStream;Ljava/lang/String;Z)","parameter",0,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"17","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","doHttpStream(Lorg/apache/commons/io/input/BOMInputStream;Lorg/apache/commons/io/input/BOMInputStream;Ljava/lang/String;Z)","parameter",1,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"18","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","doLenientDetection(Ljava/lang/String;Lorg/apache/commons/io/input/XmlStreamReaderException;)","parameter",0,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"19","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","doLenientDetection(Ljava/lang/String;Lorg/apache/commons/io/input/XmlStreamReaderException;)","parameter",1,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"20","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","calculateRawEncoding(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)","parameter",0,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
"21","org.apache.commons.io.input.XmlStreamReader","false","org.apache.commons.io.input.XmlStreamReader","method","calculateRawEncoding(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)","parameter",1,"false","jar",NA,"jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","Nullable",TRUE
