"","rootClass","abstract","class","attribute","name","use","index","primitive","jar","jar.public","jar.original","nullness.jaif","jaif","jaif.known","jaif.integrity.disagree","definition","definition.known","nullness.definition","compatible"
"47","java.lang.Object","false","com.google.common.base.Absent","method","toString()","return",-1,"false","jar",NA,NA,"Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"48","com.google.common.base.CharMatcher$RangesMatcher","false","com.google.common.base.CharMatcher$RangesMatcher","method","<init>(Ljava/lang/String;[C[C)","parameter",1,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"49","com.google.common.base.CharMatcher$RangesMatcher","false","com.google.common.base.CharMatcher$RangesMatcher","method","<init>(Ljava/lang/String;[C[C)","parameter",2,"false","jar",NA,"jar.original","NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"50","com.google.common.collect.RangeMap","false","com.google.common.collect.ImmutableRangeMap$2","method","subRangeMap(Lcom/google/common/collect/Range;)","parameter",0,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"51","com.google.common.cache.CacheBuilderSpec$DurationParser","false","com.google.common.cache.CacheBuilderSpec$AccessDurationParser","method","parseDuration(Lcom/google/common/cache/CacheBuilderSpec;JLjava/util/concurrent/TimeUnit;)","parameter",0,"false","jar",NA,NA,"NonNull","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"52","com.google.common.primitives.ImmutableIntArray","false","com.google.common.primitives.ImmutableIntArray","method","of(I)","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"53","com.google.common.primitives.ImmutableIntArray","false","com.google.common.primitives.ImmutableIntArray","method","of(II)","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"54","com.google.common.primitives.ImmutableIntArray","false","com.google.common.primitives.ImmutableIntArray","method","of(III)","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"55","com.google.common.primitives.ImmutableIntArray","false","com.google.common.primitives.ImmutableIntArray","method","of(IIII)","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"56","com.google.common.primitives.ImmutableIntArray","false","com.google.common.primitives.ImmutableIntArray","method","of(IIIII)","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"57","com.google.common.primitives.ImmutableIntArray","false","com.google.common.primitives.ImmutableIntArray","method","of(IIIIII)","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
"58","com.google.common.primitives.ImmutableIntArray","false","com.google.common.primitives.ImmutableIntArray","method","of(I[I)","return",-1,"false","jar","jar.public","jar.original","Nullable","jaif","jaif.known",NA,"definition","definition.known","NonNull",TRUE
