class,attribute,visibility,name,index,type,primitive,nullness
org.apache.commons.io.comparator.DirectoryFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,1,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,getType(Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,getType(Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,-1,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.DirectoryFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,0,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.DirectoryFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,-1,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.DirectoryFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,0,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.DirectoryFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.ExtensionFileComparator,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,field,,EXTENSION_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,field,,EXTENSION_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,field,,EXTENSION_INSENSITIVE_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,field,,EXTENSION_INSENSITIVE_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,field,,EXTENSION_SYSTEM_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,field,,EXTENSION_SYSTEM_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,field,,caseSensitivity,-1,,,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.ExtensionFileComparator,method,,<init>(Lorg/apache/commons/io/IOCase;)V,-1,V,true,Unknown
org.apache.commons.io.comparator.ExtensionFileComparator,method,,<init>(Lorg/apache/commons/io/IOCase;)V,0,Lorg/apache/commons/io/IOCase;,false,Nullable
org.apache.commons.io.comparator.ExtensionFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,1,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,-1,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.ExtensionFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,0,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.ExtensionFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,-1,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.ExtensionFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,0,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.ExtensionFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.ExtensionFileComparator,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.LastModifiedFileComparator,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,field,,LASTMODIFIED_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,field,,LASTMODIFIED_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,1,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,-1,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,0,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,-1,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,0,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.LastModifiedFileComparator,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.NameFileComparator,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.comparator.NameFileComparator,field,,NAME_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.NameFileComparator,field,,NAME_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.NameFileComparator,field,,NAME_INSENSITIVE_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.NameFileComparator,field,,NAME_INSENSITIVE_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.NameFileComparator,field,,NAME_SYSTEM_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.NameFileComparator,field,,NAME_SYSTEM_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.NameFileComparator,field,,caseSensitivity,-1,,,NonNull
org.apache.commons.io.comparator.NameFileComparator,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.NameFileComparator,method,,<init>(Lorg/apache/commons/io/IOCase;)V,-1,V,true,Unknown
org.apache.commons.io.comparator.NameFileComparator,method,,<init>(Lorg/apache/commons/io/IOCase;)V,0,Lorg/apache/commons/io/IOCase;,false,Nullable
org.apache.commons.io.comparator.NameFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.NameFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.NameFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,1,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.NameFileComparator,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.comparator.NameFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,-1,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.NameFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,0,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.NameFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,-1,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.NameFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,0,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.NameFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.NameFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.NameFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.NameFileComparator,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.PathFileComparator,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.comparator.PathFileComparator,field,,PATH_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.PathFileComparator,field,,PATH_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.PathFileComparator,field,,PATH_INSENSITIVE_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.PathFileComparator,field,,PATH_INSENSITIVE_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.PathFileComparator,field,,PATH_SYSTEM_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.PathFileComparator,field,,PATH_SYSTEM_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.PathFileComparator,field,,caseSensitivity,-1,,,NonNull
org.apache.commons.io.comparator.PathFileComparator,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.PathFileComparator,method,,<init>(Lorg/apache/commons/io/IOCase;)V,-1,V,true,Unknown
org.apache.commons.io.comparator.PathFileComparator,method,,<init>(Lorg/apache/commons/io/IOCase;)V,0,Lorg/apache/commons/io/IOCase;,false,Nullable
org.apache.commons.io.comparator.PathFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.PathFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.PathFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,1,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.PathFileComparator,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.comparator.PathFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,-1,Ljava/util/List;,false,Nullable
