"","rootClass","class","attribute","name","index","nullness.reduced","nullness.annotated","nullness"
"75","com.google.common.collect.ImmutableCollection","com.google.common.collect.ImmutableMapKeySet","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
"76","com.google.common.collect.ImmutableCollection","com.google.common.collect.ImmutableMapValues","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
"77","com.google.common.collect.ImmutableCollection","com.google.common.collect.ImmutableRangeSet$AsSet","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
"78","com.google.common.collect.ImmutableCollection","com.google.common.collect.ImmutableSortedMultiset","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
"79","com.google.common.collect.ImmutableCollection","com.google.common.collect.RegularContiguousSet","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
"80","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSortedMultiset$Builder","method","add(Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"81","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSortedMultiset$Builder","method","add([Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"82","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSortedMultiset$Builder","method","addAll(Ljava/lang/Iterable;)",-1,"Nullable","NonNull","Nullable"
"83","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSortedMultiset$Builder","method","addAll(Ljava/util/Iterator;)",-1,"Nullable","NonNull","Nullable"
"84","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableSortedMultiset$Builder","method","build()",-1,"Nullable","NonNull","Nullable"
"85","com.google.common.collect.ImmutableList","com.google.common.collect.ImmutableSortedAsList","method","subListUnchecked(II)",-1,"Nullable","NonNull","Nullable"
"86","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","builder()",-1,"Nullable","NonNull","Nullable"
"87","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","builderWithExpectedSize(I)",-1,"Nullable","NonNull","Nullable"
"88","com.google.common.collect.ImmutableMap","com.google.common.collect.SingletonImmutableBiMap","method","createEntrySet()",-1,"Nullable","NonNull","Nullable"
"89","com.google.common.collect.ImmutableMap","com.google.common.collect.DenseImmutableTable$ImmutableArrayMap","method","createKeySet()",-1,"Nullable","NonNull","Nullable"
"90","com.google.common.collect.ImmutableMap","com.google.common.collect.SingletonImmutableBiMap","method","createKeySet()",-1,"Nullable","NonNull","Nullable"
"91","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableEnumMap","method","keyIterator()",-1,"Nullable","NonNull","Nullable"
"92","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableEnumMap","method","keySpliterator()",-1,"Nullable","NonNull","Nullable"
"93","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"94","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"95","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"96","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"97","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"98","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableBiMapFauxverideShim","method","toImmutableMap(Ljava/util/function/Function;Ljava/util/function/Function;)",-1,"Nullable","NonNull","Nullable"
"99","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","toImmutableMap(Ljava/util/function/Function;Ljava/util/function/Function;)",-1,"Nullable","NonNull","Nullable"
"100","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableBiMapFauxverideShim","method","toImmutableMap(Ljava/util/function/Function;Ljava/util/function/Function;Ljava/util/function/BinaryOperator;)",-1,"Nullable","NonNull","Nullable"
"101","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableSortedMapFauxverideShim","method","toImmutableMap(Ljava/util/function/Function;Ljava/util/function/Function;Ljava/util/function/BinaryOperator;)",-1,"Nullable","NonNull","Nullable"
"102","com.google.common.collect.ImmutableMap","com.google.common.collect.ImmutableEnumMap","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
"103","com.google.common.collect.ImmutableMap$IteratorBasedImmutableMap","com.google.common.collect.DenseImmutableTable$ImmutableArrayMap","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"104","com.google.common.collect.ImmutableMap$IteratorBasedImmutableMap","com.google.common.collect.ImmutableEnumMap","method","entryIterator()",-1,"Nullable","NonNull","Nullable"
"105","com.google.common.collect.ImmutableMap$IteratorBasedImmutableMap","com.google.common.collect.ImmutableEnumMap","method","entrySpliterator()",-1,"Nullable","NonNull","Nullable"
