class,classVisibility,attribute,visibility,name,index,type,primitive,rootClass,abstract
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedInteger([BII)V,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedInteger([BII)V,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedInteger([BII)V,2,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedInteger([BI)I,-1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedInteger([BI)I,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedInteger([BI)I,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedInteger([BI)J,-1,J,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedInteger([BI)J,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedInteger([BI)J,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedLong([BIJ)V,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedLong([BIJ)V,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedLong([BIJ)V,2,J,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedLong([BI)J,-1,J,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedLong([BI)J,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedLong([BI)J,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedFloat([BIF)V,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedFloat([BIF)V,1,I,true,org.apache.commons.io.EndianUtils,false
